order_item_id,order_item_order_id,order_item_product_id,order_item_quantity,order_item_subtotal,order_item_product_price
1,1,957,1,299.980011,299.980011
2,2,1073,1,199.9900055,199.9900055
3,2,502,5,250,50
4,2,403,1,129.9900055,129.9900055
5,4,897,2,49.97999954,24.98999977
6,4,365,5,299.9500122,59.99000168
7,4,502,3,150,50
8,4,1014,4,199.9199982,49.97999954
9,5,957,1,299.980011,299.980011
10,5,365,5,299.9500122,59.99000168
11,5,1014,2,99.95999908,49.97999954
12,5,957,1,299.980011,299.980011
13,5,403,1,129.9900055,129.9900055
14,7,1073,1,199.9900055,199.9900055
15,7,957,1,299.980011,299.980011
16,7,926,5,79.94999695,15.98999977
17,8,365,3,179.9700012,59.99000168
18,8,365,5,299.9500122,59.99000168
19,8,1014,4,199.9199982,49.97999954
20,8,502,1,50,50
21,9,191,2,199.9799957,99.98999786
22,9,1073,1,199.9900055,199.9900055
23,9,1073,1,199.9900055,199.9900055
24,10,1073,1,199.9900055,199.9900055
25,10,1014,2,99.95999908,49.97999954
26,10,403,1,129.9900055,129.9900055
27,10,917,1,21.98999977,21.98999977
28,10,1073,1,199.9900055,199.9900055
29,11,365,1,59.99000168,59.99000168
30,11,627,4,159.9600067,39.99000168
31,11,1014,1,49.97999954,49.97999954
32,11,191,4,399.9599915,99.98999786
33,11,1014,5,249.8999939,49.97999954
34,12,957,1,299.980011,299.980011
35,12,134,4,100,25
36,12,1014,3,149.9400024,49.97999954
37,12,191,5,499.9500122,99.98999786
38,12,502,5,250,50
39,13,276,4,127.9599991,31.98999977
40,14,1004,1,399.980011,399.980011
41,14,1014,2,99.95999908,49.97999954
42,14,502,1,50,50
43,15,502,1,50,50
44,15,1073,1,199.9900055,199.9900055
45,15,828,3,95.97000122,31.98999977
46,15,365,3,179.9700012,59.99000168
47,15,1004,1,399.980011,399.980011
48,16,365,2,119.9800034,59.99000168
49,16,365,5,299.9500122,59.99000168
50,17,810,4,79.95999908,19.98999977
51,17,1014,2,99.95999908,49.97999954
52,17,93,3,74.97000122,24.98999977
53,17,1073,1,199.9900055,199.9900055
54,17,365,4,239.9600067,59.99000168
55,18,1073,1,199.9900055,199.9900055
56,18,365,2,119.9800034,59.99000168
57,18,403,1,129.9900055,129.9900055
58,19,1004,1,399.980011,399.980011
59,19,957,1,299.980011,299.980011
60,20,502,5,250,50
61,20,1014,4,199.9199982,49.97999954
62,20,403,1,129.9900055,129.9900055
63,20,365,5,299.9500122,59.99000168
64,21,897,3,74.97000122,24.98999977
65,21,276,4,127.9599991,31.98999977
